antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'õ', 'e'})",frozenset({'ẽ'}),0.11422254974207811,0.11532792925571113,0.10206337509211497,0.8935483870967742,7.747892404411007,1.0,0.08889032495605363,8.310555816082715,0.9832409281762646,0.800578034682081,0.8796711047816098,0.8892662063279398
frozenset({'ẽ'}),"frozenset({'õ', 'e'})",0.11532792925571113,0.11422254974207811,0.10206337509211497,0.8849840255591055,7.747892404411007,1.0,0.08889032495605363,7.701342831409158,0.9844694674451228,0.800578034682081,0.8701525147119019,0.8892662063279398
"frozenset({'o', 'ẽ'})",frozenset({'õ'}),0.10943257184966838,0.1234340456890199,0.10316875460574797,0.9427609427609427,7.637770742248353,1.0,0.08966104953218905,15.31412284884475,0.9758629351616526,0.7954545454545453,0.9347007980887762,0.8892909191416654
frozenset({'õ'}),"frozenset({'o', 'ẽ'})",0.1234340456890199,0.10943257184966838,0.10316875460574797,0.8358208955223879,7.637770742248353,1.0,0.08966104953218905,5.424365244188379,0.9914504894013092,0.7954545454545453,0.8156466323739184,0.8892909191416654
frozenset({'ẽ'}),"frozenset({'o', 'õ'})",0.11532792925571113,0.12159174649963155,0.10316875460574797,0.8945686900958466,7.3571497724852355,1.0,0.0891458302673601,8.33156919229137,0.9767210091033497,0.7713498622589531,0.8799745909899864,0.8715267692903474
"frozenset({'o', 'õ'})",frozenset({'ẽ'}),0.12159174649963155,0.11532792925571113,0.10316875460574797,0.8484848484848484,7.357149772485235,1.0,0.0891458302673601,5.838835666912304,0.9836858820709492,0.7713498622589531,0.8287329774210239,0.8715267692903474
frozenset({'ẽ'}),"frozenset({'õ', 'i'})",0.11532792925571113,0.12269712601326456,0.10316875460574797,0.8945686900958466,7.290869143904287,1.0,0.08901834913701112,8.321084835086307,0.9753242696495508,0.7650273224043714,0.8798233619992136,0.8677047654683436
"frozenset({'õ', 'i'})",frozenset({'ẽ'}),0.12269712601326456,0.11532792925571113,0.10316875460574797,0.8408408408408408,7.2908691439042865,1.0,0.08901834913701112,5.558411312412227,0.9835168296634068,0.7650273224043714,0.8200924789846071,0.8677047654683436
"frozenset({'ẽ', 'i'})",frozenset({'õ'}),0.11532792925571113,0.1234340456890199,0.10316875460574797,0.8945686900958466,7.247341566925754,1.0,0.08893336171677846,8.314095263616263,0.9743931100136847,0.7608695652173911,0.8797223307776914,0.8651947928091173
frozenset({'ẽ'}),frozenset({'õ'}),0.11532792925571113,0.1234340456890199,0.10316875460574797,0.8945686900958466,7.247341566925754,1.0,0.08893336171677846,8.314095263616263,0.9743931100136847,0.7608695652173911,0.8797223307776914,0.8651947928091173
frozenset({'õ'}),frozenset({'ẽ'}),0.1234340456890199,0.11532792925571113,0.10316875460574797,0.8358208955223879,7.247341566925753,1.0,0.08893336171677846,5.388457158169755,0.9834038911907764,0.7608695652173911,0.8144181218024826,0.8651947928091173
frozenset({'õ'}),"frozenset({'ẽ', 'i'})",0.1234340456890199,0.11532792925571113,0.10316875460574797,0.8358208955223879,7.247341566925753,1.0,0.08893336171677846,5.388457158169755,0.9834038911907764,0.7608695652173911,0.8144181218024826,0.8651947928091173
"frozenset({'ẽ', 'e'})",frozenset({'õ'}),0.11422254974207811,0.1234340456890199,0.10206337509211497,0.8935483870967742,7.239075589792971,1.0,0.08796442366853495,8.234407449587994,0.9729992731728708,0.7527173913043479,0.8785583533336045,0.8602070293692826
frozenset({'õ'}),"frozenset({'ẽ', 'e'})",0.1234340456890199,0.11422254974207811,0.10206337509211497,0.826865671641791,7.239075589792971,1.0,0.08796442366853495,5.116128376489721,0.9832241499401352,0.7527173913043479,0.8045396975190603,0.8602070293692826
"frozenset({'ĩ', 'e'})",frozenset({'ẽ'}),0.15217391304347827,0.11532792925571113,0.1079587324981577,0.7094430992736077,6.151528982199908,1.0,0.0904088302201147,3.044746376811594,0.9877483153933666,0.6766743648960738,0.6715654191705837,0.8227726678476665
frozenset({'ẽ'}),"frozenset({'ĩ', 'e'})",0.11532792925571113,0.15217391304347827,0.1079587324981577,0.9361022364217252,6.151528982199908,1.0,0.0904088302201147,13.268478260869554,0.9466092768513688,0.6766743648960738,0.924633407061522,0.8227726678476665
frozenset({'ẽ'}),"frozenset({'ã', 'e'})",0.11532792925571113,0.14959469417833457,0.10316875460574797,0.8945686900958466,5.979949322463368,1.0,0.08591630829851926,8.065965476429733,0.9413369429404415,0.6378132118451024,0.8760222811612338,0.7921119312548198
